iter	Passed	Remaining
0	5	525
1	6	311
2	7	237
3	8	202
4	9	177
5	10	162
6	11	152
7	13	151
8	14	144
9	15	139
10	16	133
11	17	129
12	18	125
13	19	120
14	20	117
15	21	114
16	22	111
17	23	108
18	25	106
19	26	105
20	27	103
21	28	101
22	29	99
23	30	97
24	31	95
25	32	93
26	33	91
27	35	90
28	36	88
29	37	86
30	38	85
31	40	86
32	41	84
33	42	82
34	43	81
35	44	79
36	45	78
37	46	76
38	47	74
39	48	73
40	49	71
41	50	70
42	52	69
43	53	67
44	54	66
45	55	64
46	56	63
47	59	64
48	60	62
49	61	61
50	62	60
51	63	58
52	65	57
53	65	56
54	71	58
55	72	56
56	73	55
57	74	53
58	75	52
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	83	44
65	84	43
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	10
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	119	2
98	120	1
99	121	0
