iter	Passed	Remaining
0	142	141954
1	147	73363
2	151	50415
3	156	39060
4	162	32296
5	167	27748
6	172	24473
7	176	21829
8	178	19653
9	180	17868
10	182	16451
11	184	15221
12	186	14181
13	188	13280
14	190	12483
15	191	11773
16	192	11148
17	194	10584
18	195	10077
19	196	9614
20	197	9202
21	198	8825
22	201	8544
23	202	8218
24	203	7917
25	203	7638
26	204	7383
27	205	7142
28	206	6919
29	207	6708
30	208	6511
31	209	6329
32	210	6157
33	211	6002
34	212	5862
35	213	5727
36	214	5590
37	215	5462
38	216	5340
39	217	5222
40	218	5114
41	219	5009
42	220	4909
43	221	4815
44	222	4724
45	223	4636
46	224	4551
47	225	4475
48	226	4404
49	228	4333
50	229	4261
51	229	4191
52	230	4124
53	231	4061
54	232	4000
55	233	3940
56	234	3883
57	235	3829
58	236	3774
59	237	3722
60	238	3672
61	239	3628
62	241	3586
63	242	3541
64	243	3498
65	244	3454
66	245	3413
67	246	3374
68	247	3336
69	248	3298
70	249	3261
71	250	3226
72	251	3190
73	252	3155
74	253	3120
75	254	3088
76	254	3056
77	256	3028
78	257	2998
79	258	2967
80	259	2938
81	260	2910
82	260	2878
83	261	2852
84	262	2825
85	263	2799
86	264	2774
87	265	2750
88	266	2727
89	267	2705
90	268	2683
91	269	2661
92	270	2639
93	271	2618
94	272	2597
95	273	2577
96	274	2556
97	275	2536
98	276	2517
99	277	2498
100	278	2480
101	279	2462
102	280	2445
103	281	2427
104	282	2410
105	283	2392
106	284	2377
107	286	2363
108	287	2348
109	288	2332
110	289	2317
111	290	2301
112	291	2286
113	292	2271
114	293	2257
115	294	2243
116	295	2227
117	296	2214
118	297	2199
119	298	2186
120	299	2173
121	300	2160
122	301	2147
123	302	2135
124	303	2122
125	304	2110
126	305	2097
127	306	2085
128	307	2073
129	308	2061
130	308	2049
131	309	2038
132	310	2027
133	311	2015
134	313	2006
135	314	1995
136	315	1986
137	316	1975
138	317	1964
139	318	1954
140	319	1943
141	319	1931
142	320	1922
143	321	1913
144	322	1903
145	323	1894
146	324	1884
147	325	1875
148	326	1866
149	327	1857
150	328	1849
151	330	1841
152	331	1833
153	332	1824
154	333	1816
155	334	1808
156	335	1800
157	336	1791
158	337	1783
159	338	1775
160	338	1766
161	340	1758
162	340	1750
163	341	1742
164	342	1735
165	344	1729
166	345	1722
167	346	1715
168	347	1707
169	348	1700
170	349	1693
171	350	1686
172	351	1679
173	352	1673
174	353	1666
175	354	1659
176	355	1652
177	356	1646
178	357	1640
179	358	1634
180	359	1628
181	360	1621
182	361	1615
183	362	1609
184	363	1603
185	365	1597
186	366	1593
187	367	1587
188	368	1582
189	369	1576
190	370	1571
191	372	1565
192	373	1560
193	374	1554
194	375	1549
195	376	1543
196	377	1537
197	378	1531
198	379	1526
199	380	1521
200	381	1515
201	382	1509
202	383	1504
203	384	1498
204	385	1493
205	386	1488
206	387	1483
207	388	1477
208	389	1473
209	390	1467
210	391	1463
211	392	1458
212	393	1454
213	394	1449
214	395	1444
215	396	1440
216	397	1435
217	398	1430
218	399	1424
219	400	1420
220	401	1415
221	402	1411
222	403	1406
223	404	1401
224	405	1396
225	406	1391
226	412	1403
227	414	1402
228	416	1401
229	417	1397
230	418	1394
231	421	1394
232	422	1392
233	424	1389
234	436	1420
235	437	1416
236	438	1413
237	440	1409
238	441	1405
239	442	1402
240	444	1398
241	446	1398
242	447	1394
243	449	1391
244	450	1388
245	451	1385
246	453	1381
247	454	1377
248	455	1374
249	456	1370
250	457	1366
251	458	1362
252	459	1357
253	461	1354
254	462	1349
255	463	1346
256	464	1342
257	465	1338
258	466	1334
259	467	1329
260	470	1333
261	472	1330
262	473	1327
263	477	1330
264	478	1326
265	478	1321
266	479	1317
267	480	1313
268	481	1308
269	482	1305
270	483	1300
271	484	1296
272	485	1292
273	486	1288
274	487	1284
275	488	1280
276	489	1277
277	490	1273
278	491	1269
279	492	1266
280	493	1262
281	494	1258
282	495	1255
283	496	1251
284	497	1247
285	498	1244
286	499	1240
287	500	1236
288	501	1233
289	502	1230
290	503	1226
291	504	1223
292	505	1219
293	506	1216
294	507	1213
295	509	1210
296	509	1207
297	511	1203
298	512	1200
299	513	1197
300	514	1194
301	515	1190
302	516	1188
303	517	1184
304	518	1181
305	519	1178
306	520	1175
307	521	1172
308	522	1169
309	523	1165
310	524	1162
311	525	1159
312	527	1156
313	527	1153
314	528	1150
315	529	1146
316	531	1144
317	532	1141
318	533	1138
319	534	1135
320	535	1132
321	536	1130
322	537	1127
323	538	1123
324	539	1120
325	540	1117
326	541	1115
327	542	1112
328	543	1108
329	544	1106
330	545	1103
331	546	1100
332	548	1098
333	549	1096
334	550	1093
335	552	1091
336	553	1088
337	554	1085
338	555	1082
339	556	1079
340	557	1077
341	558	1074
342	559	1071
343	560	1068
344	561	1065
345	562	1062
346	564	1061
347	565	1058
348	566	1057
349	567	1054
350	569	1052
351	570	1049
352	571	1046
353	572	1044
354	573	1041
355	574	1038
356	575	1035
357	576	1033
358	577	1030
359	578	1028
360	579	1026
361	580	1023
362	581	1021
363	583	1018
364	584	1016
365	585	1013
366	586	1011
367	587	1008
368	588	1005
369	589	1004
370	590	1001
371	592	999
372	593	997
373	595	995
374	596	993
375	597	991
376	598	988
377	599	985
378	600	983
379	600	980
380	602	978
381	603	975
382	604	973
383	604	970
384	606	968
385	607	965
386	608	963
387	609	961
388	610	958
389	611	956
390	612	954
391	613	951
392	614	949
393	615	947
394	616	944
395	617	942
396	618	939
397	619	937
398	620	934
399	621	932
400	623	930
401	624	929
402	627	929
403	628	927
404	630	925
405	631	923
406	632	921
407	633	918
408	634	916
409	635	914
410	636	912
411	638	911
412	640	910
413	642	909
414	643	907
415	644	904
416	645	902
417	647	900
418	648	898
419	649	896
420	650	895
421	651	892
422	652	890
423	653	888
424	654	885
425	655	883
426	657	882
427	658	880
428	660	878
429	661	876
430	662	874
431	663	872
432	664	870
433	666	868
434	667	866
435	668	864
436	669	863
437	671	861
438	672	859
439	673	857
440	674	854
441	675	852
442	676	850
443	676	847
444	678	845
445	679	843
446	680	842
447	681	840
448	683	838
449	684	836
450	685	834
451	686	832
452	687	830
453	688	827
454	689	825
455	690	823
456	691	821
457	692	819
458	693	817
459	694	815
460	696	813
461	697	811
462	698	810
463	700	808
464	701	806
465	702	804
466	703	802
467	703	800
468	705	798
469	706	796
470	706	793
471	707	791
472	709	790
473	710	788
474	711	786
475	712	784
476	714	783
477	715	781
478	716	779
479	717	777
480	718	775
481	719	773
482	720	771
483	721	769
484	722	767
485	723	765
486	725	763
487	726	762
488	730	763
489	731	761
490	732	759
491	733	757
492	734	755
493	735	753
494	736	751
495	737	749
496	738	747
497	739	745
498	741	744
499	742	742
500	743	740
501	744	738
502	745	736
503	746	734
504	747	732
505	748	730
506	749	728
507	750	726
